Species	ID	Microhabitat	Habitat type	suborder	family
Podocnemis expansa	podExp	Aquatic	Wetlands	Pleurodira	Podocnemididae
Pelusios castaneus	pelCas	Aquatic	Wetlands	Pleurodira	Podocnemididae
Mesoclemmys tuberculata	mesTub	Aquatic	Wetlands	Pleurodira	Chelidae
Emydura subglobosa	emySub	Aquatic	Wetlands	Pleurodira	Chelidae
Dermatemys mawii	derMaw	Aquatic	Forest/Wetlands	Cryptodira	Dermatemydidae
Chelydra serpentina	cheSer	Aquatic	Marine Coastal/Wetlands	Cryptodira	Chelydridae
Dermochelys coriacea	derCor	Marine	Marine Oceanic	Cryptodira	Dermochelyidae
Chelonia mydas	cheMyd	Marine	Wetlands	Cryptodira	Cheloniidae
Platysternon megacephalum	plaMeg	Aquatic	Forest/Wetlands	Cryptodira 	Platysternidae
Terrapene mexicana	terMex	Aquatic_Terrestrial	Forest/Wetlands	Cryptodira	Emydidae
Malaclemys terrapin	malTer	Aquatic	Marine Neritic	Cryptodira	Emydidae
Chrysemys picta	chrPic	Aquatic	Wetlands	Cryptodira	Emydidae
Cuora mccordi	cuoMcc	Aquatic_Terrestrial	Wetlands	Cryptodira	Geoemydidae
Cuora amboinensis	cuoAmb	Terrestrial	Forest/Wetlands	Cryptodira	Geoemydidae
Gopherus agassizii	gopAga	Terrestrial	Shrubland	Cryptodira	Testudinidae
Chelonoidis abingdonii	cheAbi	Terrestrial	Forest/Shrubland	Cryptodira	Testudinidae
Pelodiscus sinensis	pelSin	Aquatic	Wetlands	Cryptodira	Trionychidae
Carettochelys insculpta	carIns	Aquatic	Wetlands	Cryptodira	Carettochelyidae
Homo sapiens	homSap	Outgroup	Outgroup	Haplorrhini	Homininae
Gallus gallus	galGal	Outgroup	Outgroup	Galloanserae	Phasianinae
Alligator mississipiensis	allMis	Outgroup	Outgroup	Crocodylia	Alligatoridae
