"busco_id","pval"
"101303at32523",2.98500760974917e-133
"101542at32523",8.9543242180063e-177
"101949at32523",4.23810849388564e-82
"102110at32523",4.78632407805464e-123
"102529at32523",8.87114586098324e-73
"105916at32523",1.56495816936998e-167
"107213at32523",9.6668550216872e-149
"109646at32523",3.29191924904627e-129
"113062at32523",1.35490178047173e-178
"113607at32523",5.89250791652356e-125
"116132at32523",4.33474109750252e-280
"118839at32523",6.59311812437209e-59
"119144at32523",9.66023611552677e-272
"121184at32523",3.4298749064875e-228
"124683at32523",1.60408194348547e-133
"126395at32523",3.288120579972e-97
"126597at32523",1.99584767096539e-59
"126992at32523",6.81196975340698e-101
"128422at32523",7.57893619854392e-301
"133426at32523",2.62760571005284e-224
"134798at32523",9.25609362949628e-112
"135131at32523",4.8388143180745e-214
"135243at32523",2.2505534493918e-65
"135387at32523",2.72405341844168e-138
"137324at32523",1.54993332057042e-119
"140221at32523",5.11781765632857e-94
"141057at32523",7.39433430873749e-172
"142022at32523",1.15806901906612e-139
"142484at32523",0
"143078at32523",1.68367587226552e-100
"144146at32523",1.04606173722455e-57
"144781at32523",1.34828222402743e-126
"146603at32523",1.66566422579335e-77
"150509at32523",7.43870642113017e-102
"154801at32523",1.65412510635787e-93
"155190at32523",5.01045169368826e-107
"157171at32523",9.76324413538982e-115
"158268at32523",3.31307273214525e-201
"165745at32523",3.66577045791655e-116
"16602at32523",4.46227566302266e-184
"166537at32523",6.02093914563498e-186
"169435at32523",5.01426550644615e-131
"172222at32523",6.17823229669871e-220
"172434at32523",1.72081934138932e-312
"173903at32523",4.87512538392259e-311
"174675at32523",3.0836815379614e-186
"174944at32523",4.73690736497783e-140
"177431at32523",1.64318949810291e-179
"178320at32523",4.91620899948403e-133
"178984at32523",7.40654012116042e-203
"179871at32523",2.89651874778619e-202
"180491at32523",5.55643383366313e-173
"18091at32523",3.26410067797646e-98
"181904at32523",1.68137318205025e-123
"182203at32523",1.22464420974623e-271
"182302at32523",3.20879625809209e-273
"182549at32523",7.11586567458446e-181
"184192at32523",4.37281222792946e-73
"185680at32523",7.96819174443175e-146
"188147at32523",1.85172154149554e-74
"188390at32523",5.03947673133576e-74
"189115at32523",1.12335946962414e-69
"189244at32523",4.18398574009429e-133
"191037at32523",0
"191457at32523",1.60610745143736e-62
"191792at32523",9.59747226263034e-138
"192580at32523",7.08729749620669e-72
"193873at32523",9.64312146473996e-201
"194637at32523",1.2670827070982e-70
"194996at32523",2.18166279915705e-126
"196611at32523",1.10844872504483e-175
"197589at32523",6.72018010362041e-61
"199537at32523",1.18119688896965e-76
"200165at32523",2.40561082446517e-136
"201210at32523",2.07027940207014e-62
"202849at32523",1.17892817442397e-62
"203233at32523",1.06581401697312e-62
"203753at32523",4.5663091547593e-100
"204259at32523",8.98897507848757e-76
"207984at32523",3.11518543166342e-69
"209160at32523",5.10204732028537e-95
"209752at32523",1.5035469932713e-180
"214194at32523",3.5571655787666e-67
"215463at32523",4.23554915078442e-71
"216370at32523",2.01547671302741e-310
"217270at32523",4.2163784972793e-220
"219434at32523",1.38168442799405e-84
"219664at32523",2.645263458799e-185
"219728at32523",8.98914214500835e-202
"223827at32523",1.10787811613139e-58
"224102at32523",1.88052159778326e-108
"224157at32523",1.56501697309973e-87
"224356at32523",2.51972532241533e-139
"226027at32523",5.00585478233096e-274
"229324at32523",0
"230017at32523",1.35499589449149e-73
"230300at32523",1.40467342517513e-170
"230953at32523",1.72288127860248e-182
"232639at32523",5.11363908132989e-188
"233591at32523",2.39444063916729e-67
"235309at32523",1.36773325419799e-86
"235866at32523",1.59823589428705e-300
"23620at32523",5.47851622762588e-75
"237857at32523",1.09468734272465e-84
"237986at32523",1.31631605976342e-60
"238128at32523",1.2219050712808e-171
"239568at32523",1.41959841131318e-125
"239803at32523",7.09963721680529e-255
"240061at32523",6.96548665693975e-83
"240467at32523",6.72490486162395e-104
"242048at32523",1.83786193431982e-71
"242688at32523",3.42491298861036e-69
"243385at32523",9.6829711497772e-118
"24343at32523",1.11206478425081e-113
"244088at32523",2.82347581835484e-220
"244174at32523",1.16511918570261e-309
"244751at32523",3.28501959796632e-172
"246490at32523",1.3661619944869e-62
"247795at32523",6.42618801519258e-84
"249069at32523",9.11314946349941e-99
"249219at32523",1.45907398084778e-185
"249342at32523",1.46857840087182e-64
"249702at32523",5.57870379482116e-208
"250470at32523",3.96627167850218e-91
"250976at32523",1.75149139143785e-270
"251245at32523",1.0940568239557e-157
"251873at32523",3.01975803432678e-217
"251875at32523",5.72977912720554e-76
"251946at32523",5.85288169146702e-180
"252686at32523",1.11649882707075e-69
"253171at32523",4.60784037523835e-179
"253220at32523",3.62017548957619e-216
"255863at32523",2.80602525662064e-170
"257507at32523",4.89969122651212e-158
"257812at32523",1.79235678198934e-118
"258205at32523",1.34615006441825e-78
"25837at32523",1.09004648729105e-64
"259026at32523",4.18688817951159e-126
"259095at32523",1.7206199742973e-224
"259306at32523",8.51408485967446e-79
"260778at32523",1.76567683828413e-101
"260781at32523",2.9442263954093e-87
"261311at32523",1.34994949116868e-99
"263440at32523",2.58835950569658e-220
"263835at32523",6.07469572705898e-103
"26466at32523",4.87390142649317e-81
"265077at32523",5.0393062628346e-80
"265834at32523",2.10353095037443e-165
"266685at32523",4.4914605470454e-134
"267061at32523",2.46804378653763e-139
"267170at32523",1.97579595531226e-266
"267472at32523",2.39942580245422e-78
"267603at32523",3.29909045534476e-190
"268208at32523",3.30266269573236e-154
"269039at32523",1.2614255530466e-152
"269391at32523",4.17910699320258e-110
"269758at32523",8.24018204787829e-59
"270377at32523",5.15921143929043e-175
"271071at32523",4.37912415060508e-206
"272037at32523",1.36177899280448e-91
"274027at32523",2.9373365487551e-66
"274390at32523",1.09494432016376e-259
"275846at32523",5.65106552848091e-92
"277011at32523",2.19253365251071e-180
"277586at32523",7.75292597737707e-234
"277821at32523",3.72443125972528e-62
"278185at32523",1.31275586482888e-101
"27867at32523",2.08615169403773e-76
"279422at32523",1.90603838438455e-109
"279702at32523",2.21782347491441e-303
"280182at32523",6.9247996257995e-135
"280970at32523",3.45572253723782e-61
"281334at32523",3.67912805728872e-66
"281797at32523",2.37859946467039e-120
"282407at32523",1.16298562440307e-110
"282898at32523",2.3269191024196e-60
"283371at32523",3.34365459381825e-78
"283521at32523",0
"283776at32523",2.82314219924318e-136
"284008at32523",1.89231198602358e-185
"285079at32523",9.60169477004877e-76
"286324at32523",7.64750113783151e-63
"286462at32523",4.49223894709792e-248
"286526at32523",1.37279901779229e-102
"287872at32523",4.9675379038882e-110
"288247at32523",1.08071175469025e-277
"288598at32523",1.89189852672912e-154
"288923at32523",6.36729366671062e-287
"289300at32523",3.48861566583642e-105
"289585at32523",1.70526439187885e-176
"290216at32523",6.73013607938332e-175
"290236at32523",2.34687702637963e-155
"290800at32523",0
"291175at32523",1.55792914209767e-58
"292094at32523",0
"292234at32523",0
"292567at32523",6.07220788762698e-64
"293250at32523",3.72059822904053e-228
"293308at32523",7.02515757508704e-170
"293881at32523",1.32406527821875e-118
"294083at32523",7.39425768597837e-73
"294091at32523",2.61065330185637e-159
"294369at32523",4.03884697576673e-59
"294624at32523",8.28903815340776e-319
"294828at32523",1.35851307636051e-240
"295641at32523",2.13223852062571e-66
"298204at32523",0
"298237at32523",8.49412897466417e-170
"298305at32523",1.61073042852273e-268
"299063at32523",9.84573186448241e-67
"299214at32523",2.21736641703138e-79
"299480at32523",2.20835526556602e-66
"300642at32523",4.0158981900587e-72
"301105at32523",3.71899423981383e-238
"301845at32523",3.60594085418832e-162
"302602at32523",2.674696254902e-104
"302721at32523",2.01672326871683e-79
"302930at32523",7.84267366272519e-64
"30310at32523",6.18161709892064e-77
"303212at32523",2.659034076279e-258
"304134at32523",5.20272342775975e-130
"305138at32523",1.76857480287552e-169
"305590at32523",3.53963500094741e-66
"308580at32523",1.7188717500356e-143
"308747at32523",4.07612119022897e-95
"308939at32523",1.69296603792451e-147
"34372at32523",0
"3576at32523",3.07406378528708e-218
"37749at32523",2.17646763923902e-188
"44174at32523",3.41033334948935e-200
"45054at32523",3.40274590145673e-100
"48483at32523",1.56131001930502e-137
"51621at32523",5.25465133343723e-114
"53386at32523",2.70976837944564e-138
"54120at32523",7.42076957492311e-64
"57153at32523",7.03996874866073e-108
"58163at32523",1.64955796812859e-114
"64249at32523",1.1834991796502e-170
"65318at32523",3.40310315700483e-69
"67681at32523",1.57488349924864e-91
"69006at32523",1.75897687875304e-143
"7066at32523",9.17261832852059e-136
"72515at32523",1.49160204371491e-90
"74571at32523",5.56467400820988e-96
"80601at32523",3.77365686468956e-62
"82211at32523",1.11357575611779e-105
"82692at32523",3.3005214663438e-61
"83722at32523",1.02698804800642e-94
"83849at32523",6.04295641410388e-184
"84445at32523",2.66690507615558e-235
"90019at32523",2.33378891524673e-80
"90752at32523",4.04555556694411e-114
"91147at32523",1.19016091982325e-107
"94920at32523",2.88297863652845e-86
"99669at32523",3.05280230041351e-125
